timestamp,asin,title,bsr,category,category_rank
2026-04-29 19:55:43.573507,B0D986WRQY,Ocean Word Search,,,
2026-04-29 19:55:59.806022,B0D9D6QJKD,Earth Science Word Search,,,
2026-04-29 19:56:15.999220,B0D9DRYQSH,Animal Word Search,,,
2026-04-29 19:56:32.308733,B0FPDF7GQV,Halloween Word Search,7459382,Holidays (Books),889
2026-04-29 19:56:32.308735,B0FPDF7GQV,Halloween Word Search,7459382,Customs & Traditions Social Sciences,5651
2026-04-29 19:56:32.308736,B0FPDF7GQV,Halloween Word Search,7459382,Ghosts & Hauntings,5864
2026-04-29 19:56:48.650837,B0DXP99LNN,Spring Word Search,5968202,Gardening & Landscape Design,26764
2026-04-29 19:56:48.650839,B0DXP99LNN,Spring Word Search,5968202,Word Search Games,29340
2026-04-29 19:56:48.650839,B0DXP99LNN,Spring Word Search,5968202,Word Games (Books),31368
2026-04-29 19:57:05.020602,B0F61TRMXM,Summer Word Search,,,
2026-04-29 19:57:21.356377,B0DTKGRKC2,Romance Word Search,8018496,Humorous Erotica (Books),22371
2026-04-29 19:57:21.356380,B0DTKGRKC2,Romance Word Search,8018496,Romantic Erotica (Books),36337
2026-04-29 19:57:21.356380,B0DTKGRKC2,Romance Word Search,8018496,Word Search Games,40979
2026-04-29 19:57:37.688557,B0DS5HPJ1M,Alien Adult Activity Book,710518,UFOs (Books),812
2026-04-29 19:57:37.688559,B0DS5HPJ1M,Alien Adult Activity Book,710518,Logic & Brain Teasers (Books),1796
2026-04-29 19:57:37.688560,B0DS5HPJ1M,Alien Adult Activity Book,710518,Puzzles (Books),3521
2026-04-29 19:57:54.186875,B0FJ8TFSZ1,Fall Word Search,6416504,Holidays (Books),771
2026-04-29 19:57:54.186877,B0FJ8TFSZ1,Fall Word Search,6416504,Word Search Games,31944
2026-04-29 19:57:54.186878,B0FJ8TFSZ1,Fall Word Search,6416504,Word Games (Books),34092
2026-04-29 19:58:10.573915,B0G4GQL5TG,Winter Word Search,9189412,Holidays (Books),1068
2026-04-29 19:58:10.573918,B0G4GQL5TG,Winter Word Search,9189412,Word Search Games,47465
2026-04-29 19:58:10.573919,B0G4GQL5TG,Winter Word Search,9189412,Word Games (Books),50137
2026-04-29 19:58:26.885101,B0G5Z47WY7,Christmas Word Search,9188935,Holidays (Books),1067
2026-04-29 19:58:26.885103,B0G5Z47WY7,Christmas Word Search,9188935,Word Search Games,47446
2026-04-29 19:58:26.885104,B0G5Z47WY7,Christmas Word Search,9188935,Word Games (Books),50117
2026-04-29 19:58:43.010508,B0D2HQ2N8G,Cryptids Word Search Large Print,,,
2026-04-29 19:58:59.358555,B0CVNHV3CV,Cryptids Word Search,3642922,Ancient & Controversial Knowledge,3858
2026-04-29 19:58:59.358557,B0CVNHV3CV,Cryptids Word Search,3642922,Unexplained Mysteries (Books),5093
2026-04-29 19:58:59.358558,B0CVNHV3CV,Cryptids Word Search,3642922,Word Search Games,16702
2026-04-29 19:59:15.841575,B0D429W5H1,Sasquatch Word Search,3827178,Unexplained Mysteries (Books),5313
2026-04-29 19:59:15.841577,B0D429W5H1,Sasquatch Word Search,3827178,Word Search Games,17632
2026-04-29 19:59:15.841578,B0D429W5H1,Sasquatch Word Search,3827178,Word Games (Books),19140
2026-04-29 19:59:32.041678,B0D429WWSQ,Sasquatch Word Search,1578437,Unexplained Mysteries (Books),2604
2026-04-29 19:59:32.041681,B0D429WWSQ,Sasquatch Word Search,1578437,Word Search Games,6901
2026-04-29 19:59:32.041681,B0D429WWSQ,Sasquatch Word Search,1578437,Word Games (Books),7703
2026-04-29 19:59:48.614118,B0D22PKCGW,Alien Word Search Large Print,3893561,UFOs (Books),3363
2026-04-29 19:59:48.614120,B0D22PKCGW,Alien Word Search Large Print,3893561,Ancient & Controversial Knowledge,4090
2026-04-29 19:59:48.614121,B0D22PKCGW,Alien Word Search Large Print,3893561,Word Search Games,17998
2026-04-29 20:00:04.983978,B0CTPR6KZ4,Alien Word Search,1462593,UFOs (Books),1584
2026-04-29 20:00:04.983980,B0CTPR6KZ4,Alien Word Search,1462593,Ancient & Controversial Knowledge,1848
2026-04-29 20:00:04.983981,B0CTPR6KZ4,Alien Word Search,1462593,Word Search Games,6381
2026-04-29 21:21:21.952295,B0D3XXY1HV,Witches Word Search Large Print,,,
2026-04-29 21:21:38.230349,B0G43ZNNRX,Weather Word Search Large Print,,,
2026-04-29 21:21:54.529286,B0D97NFBG2,Weather Word Search,1538432,Natural Disasters (Books),528
2026-04-29 21:21:54.529291,B0D97NFBG2,Weather Word Search,1538432,Weather (Books),760
2026-04-29 21:21:54.529292,B0D97NFBG2,Weather Word Search,1538432,Word Search Games,6734
2026-04-29 21:22:10.793983,B0D9B6HKC8,Space Word Search,8889586,Solar System (Books),805
2026-04-29 21:22:10.793985,B0D9B6HKC8,Space Word Search,8889586,Astronomy (Books),10217
2026-04-29 21:22:10.793986,B0D9B6HKC8,Space Word Search,8889586,Word Search Games,45206
2026-04-29 21:22:27.161833,B0D986WRQY,Ocean Word Search,,,
2026-04-29 21:22:43.396321,B0D9D6QJKD,Earth Science Word Search,,,
2026-04-29 21:22:59.655947,B0D9DRYQSH,Animal Word Search,,,
2026-04-29 21:23:16.069640,B0FPDF7GQV,Halloween Word Search,7459398,Holidays (Books),889
2026-04-29 21:23:16.069644,B0FPDF7GQV,Halloween Word Search,7459398,Customs & Traditions Social Sciences,5651
2026-04-29 21:23:16.069645,B0FPDF7GQV,Halloween Word Search,7459398,Ghosts & Hauntings,5865
2026-04-29 21:23:32.544437,B0DXP99LNN,Spring Word Search,5968218,Gardening & Landscape Design,26765
2026-04-29 21:23:32.544439,B0DXP99LNN,Spring Word Search,5968218,Word Search Games,29340
2026-04-29 21:23:32.544440,B0DXP99LNN,Spring Word Search,5968218,Word Games (Books),31368
2026-04-29 21:23:48.820238,B0F61TRMXM,Summer Word Search,,,
2026-04-29 21:24:05.114608,B0DTKGRKC2,Romance Word Search,8018513,Humorous Erotica (Books),22371
2026-04-29 21:24:05.114610,B0DTKGRKC2,Romance Word Search,8018513,Romantic Erotica (Books),36337
2026-04-29 21:24:05.114611,B0DTKGRKC2,Romance Word Search,8018513,Word Search Games,40979
2026-04-29 21:24:21.244228,B0DS5HPJ1M,Alien Adult Activity Book,710521,UFOs (Books),812
2026-04-29 21:24:21.244229,B0DS5HPJ1M,Alien Adult Activity Book,710521,Logic & Brain Teasers (Books),1796
2026-04-29 21:24:21.244230,B0DS5HPJ1M,Alien Adult Activity Book,710521,Puzzles (Books),3521
2026-04-29 21:24:37.626034,B0FJ8TFSZ1,Fall Word Search,6416519,Holidays (Books),771
2026-04-29 21:24:37.626037,B0FJ8TFSZ1,Fall Word Search,6416519,Word Search Games,31944
2026-04-29 21:24:37.626037,B0FJ8TFSZ1,Fall Word Search,6416519,Word Games (Books),34092
2026-04-29 21:24:53.897448,B0G4GQL5TG,Winter Word Search,9189432,Holidays (Books),1068
2026-04-29 21:24:53.897451,B0G4GQL5TG,Winter Word Search,9189432,Word Search Games,47465
2026-04-29 21:24:53.897452,B0G4GQL5TG,Winter Word Search,9189432,Word Games (Books),50137
2026-04-29 21:25:10.130983,B0G5Z47WY7,Christmas Word Search,9188955,Holidays (Books),1067
2026-04-29 21:25:10.130985,B0G5Z47WY7,Christmas Word Search,9188955,Word Search Games,47446
2026-04-29 21:25:10.130986,B0G5Z47WY7,Christmas Word Search,9188955,Word Games (Books),50117
2026-04-29 21:25:26.322531,B0D2HQ2N8G,Cryptids Word Search Large Print,,,
2026-04-29 21:25:42.654517,B0CVNHV3CV,Cryptids Word Search,3642937,Ancient & Controversial Knowledge,3858
2026-04-29 21:25:42.654519,B0CVNHV3CV,Cryptids Word Search,3642937,Unexplained Mysteries (Books),5094
2026-04-29 21:25:42.654519,B0CVNHV3CV,Cryptids Word Search,3642937,Word Search Games,16702
2026-04-29 21:25:58.777935,B0D429W5H1,Sasquatch Word Search,3827194,Unexplained Mysteries (Books),5314
2026-04-29 21:25:58.777937,B0D429W5H1,Sasquatch Word Search,3827194,Word Search Games,17632
2026-04-29 21:25:58.777938,B0D429W5H1,Sasquatch Word Search,3827194,Word Games (Books),19140
2026-04-29 21:26:14.783945,B0D429WWSQ,Sasquatch Word Search,1578445,Unexplained Mysteries (Books),2604
2026-04-29 21:26:14.783948,B0D429WWSQ,Sasquatch Word Search,1578445,Word Search Games,6901
2026-04-29 21:26:14.783948,B0D429WWSQ,Sasquatch Word Search,1578445,Word Games (Books),7703
2026-04-29 21:26:31.040227,B0D22PKCGW,Alien Word Search Large Print,3893577,UFOs (Books),3363
2026-04-29 21:26:31.040230,B0D22PKCGW,Alien Word Search Large Print,3893577,Ancient & Controversial Knowledge,4090
2026-04-29 21:26:31.040231,B0D22PKCGW,Alien Word Search Large Print,3893577,Word Search Games,17998
2026-04-29 21:26:47.512605,B0CTPR6KZ4,Alien Word Search,1462601,UFOs (Books),1584
2026-04-29 21:26:47.512607,B0CTPR6KZ4,Alien Word Search,1462601,Ancient & Controversial Knowledge,1848
2026-04-29 21:26:47.512608,B0CTPR6KZ4,Alien Word Search,1462601,Word Search Games,6381
